epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
145,9965.41,0.22077,0.39194,0.16337,0.88327,0.85515,0.9005,0.65973,0.36032,0.48688,0.15052,0.000142976,0.000142976,0.000142976
146,10034.1,0.20673,0.41561,0.15732,0.90078,0.85984,0.91206,0.66602,0.32841,0.47854,0.12071,0.00014258,0.00014258,0.00014258
147,10103.2,0.21266,0.40959,0.15655,0.87,0.87613,0.92147,0.67411,0.32588,0.47236,0.11942,0.000142184,0.000142184,0.000142184
148,10171.8,0.21242,0.40507,0.15843,0.87952,0.83372,0.90435,0.66175,0.3516,0.45941,0.13316,0.000141788,0.000141788,0.000141788
149,10241,0.2126,0.39802,0.15632,0.86571,0.85794,0.92203,0.67857,0.32375,0.46738,0.11576,0.000141392,0.000141392,0.000141392
150,10309.5,0.21242,0.40975,0.15755,0.87014,0.87465,0.9189,0.6737,0.32939,0.47711,0.11274,0.000140996,0.000140996,0.000140996
151,10378.7,0.21491,0.38967,0.15707,0.87842,0.86908,0.90514,0.6576,0.33187,0.47483,0.12252,0.0001406,0.0001406,0.0001406
152,10447.4,0.20938,0.3919,0.14815,0.82492,0.90562,0.91809,0.66407,0.33546,0.45391,0.12149,0.000140204,0.000140204,0.000140204
153,10516.7,0.21329,0.41087,0.16414,0.87772,0.84958,0.91543,0.66885,0.32665,0.44994,0.11386,0.000139808,0.000139808,0.000139808
154,10585.4,0.22607,0.41642,0.1602,0.86805,0.88301,0.92746,0.67977,0.3219,0.45867,0.11745,0.000139412,0.000139412,0.000139412
155,10654.6,0.2156,0.39071,0.15931,0.88506,0.87744,0.93135,0.68134,0.32322,0.46136,0.11627,0.000139016,0.000139016,0.000139016
156,10723.5,0.19987,0.37881,0.15966,0.87192,0.87465,0.91068,0.657,0.33947,0.48277,0.12826,0.00013862,0.00013862,0.00013862
157,10792.7,0.21864,0.40236,0.15532,0.87495,0.87708,0.91172,0.65696,0.34148,0.45447,0.12162,0.000138224,0.000138224,0.000138224
158,10861.5,0.21712,0.4081,0.15634,0.85505,0.87744,0.91423,0.64133,0.36402,0.50469,0.13337,0.000137828,0.000137828,0.000137828
159,10930.5,0.20776,0.4029,0.15222,0.85864,0.88858,0.91857,0.66338,0.33834,0.4699,0.12248,0.000137432,0.000137432,0.000137432
160,10999.1,0.20679,0.37865,0.15189,0.85713,0.89415,0.92692,0.6711,0.32932,0.47623,0.11751,0.000137036,0.000137036,0.000137036
161,11068.3,0.22513,0.38654,0.16801,0.87933,0.87465,0.91797,0.66388,0.33186,0.4784,0.12281,0.00013664,0.00013664,0.00013664
162,11137.1,0.22237,0.40008,0.16021,0.86303,0.88858,0.92162,0.67761,0.32927,0.46183,0.12115,0.000136244,0.000136244,0.000136244
163,11206.3,0.20456,0.37621,0.16557,0.87158,0.88579,0.91815,0.68072,0.33685,0.4546,0.12296,0.000135848,0.000135848,0.000135848
164,11275.2,0.19312,0.38085,0.14178,0.8945,0.8502,0.9089,0.67789,0.32178,0.45394,0.11632,0.000135452,0.000135452,0.000135452
165,11344.3,0.20338,0.38619,0.14711,0.85852,0.89972,0.92557,0.67803,0.31974,0.4497,0.116,0.000135056,0.000135056,0.000135056
166,11412.7,0.21413,0.39419,0.15585,0.87155,0.88832,0.91746,0.67046,0.32355,0.45349,0.11617,0.00013466,0.00013466,0.00013466
167,11481.6,0.19528,0.38732,0.14518,0.87009,0.88022,0.91777,0.66723,0.33007,0.4708,0.12421,0.000134264,0.000134264,0.000134264
168,11550.1,0.21042,0.38068,0.15772,0.8573,0.87187,0.90435,0.66564,0.33735,0.45843,0.13047,0.000133868,0.000133868,0.000133868
169,11619.1,0.21289,0.39402,0.15558,0.8664,0.87744,0.91585,0.66667,0.33718,0.46302,0.12432,0.000133472,0.000133472,0.000133472
170,11687.9,0.21226,0.38363,0.16294,0.84749,0.88229,0.91302,0.66396,0.33243,0.45902,0.122,0.000133076,0.000133076,0.000133076
171,11757.2,0.20779,0.38515,0.15847,0.85865,0.87744,0.92001,0.67174,0.33345,0.46482,0.11897,0.00013268,0.00013268,0.00013268
172,11826,0.20416,0.37148,0.15142,0.8692,0.85794,0.92006,0.66996,0.33964,0.45956,0.12527,0.000132284,0.000132284,0.000132284
173,11894.9,0.21072,0.36422,0.15032,0.88052,0.86908,0.92183,0.67087,0.33138,0.46873,0.11928,0.000131888,0.000131888,0.000131888
174,11963.6,0.19971,0.36103,0.1486,0.87031,0.8663,0.91916,0.66277,0.33336,0.47608,0.11812,0.000131492,0.000131492,0.000131492
175,12032.7,0.20995,0.37973,0.15528,0.87001,0.87187,0.91782,0.67,0.32076,0.47379,0.11485,0.000131096,0.000131096,0.000131096
176,12101.5,0.2017,0.38016,0.14684,0.87173,0.85184,0.91533,0.66926,0.33064,0.4633,0.11778,0.0001307,0.0001307,0.0001307
177,12170.7,0.19536,0.37649,0.14715,0.87617,0.88688,0.92635,0.67465,0.32678,0.47207,0.11817,0.000130304,0.000130304,0.000130304
